id;name;details;sku;category;price;stocks
1;Generic Steel Tuna;website calculating;cross-platform support;navigate wireless Chilean Peso Unidades de fomento;9665;76146
2;reboot deposit Sri Lanka Rupee;withdrawal Refined Metal Car Division;Steel;Kina networks;40879;70307
3;partnerships throughput;Union transmitting;New Zealand;Bedfordshire;4189;60561
4;Bedfordshire intranet Drive;Australian Dollar;Bike;digital;11502;56622
5;Identity orange Security;Data Identity;Dynamic auxiliary;Human New Mexico Implementation;12092;5182
6;Shirt intangible;Prairie;Rubber CSS;Bike Keyboard Tunnel;46377;5902
7;black;pixel Gorgeous Rubber Cheese quantifying;cross-platform;multi-byte online Forward;30021;79521
8;hacking;efficient;Buckinghamshire;Practical AGP Implementation;94541;80676
9;navigate grey Harbors;Automotive Massachusetts Checking Account;system-worthy;Ergonomic;93852;5859
10;deposit;convergence;back-end Automotive internet solution;Zimbabwe Small Wooden Chicken Balboa US Dollar;95388;96045
